customer_id,age,gender,region,avg_order_value,orders_per_month,recency_days,tenure_months,pref_electronics,pref_clothing,pref_home,pref_sports,email_open_rate,app_sessions_per_week,ltv,churn
20,20,Female,South,221.93,2,55,20,0.435,0.18,0.099,0.328,0.378,1,9672.28,0
21,39,Male,North,24.54,0,0,118,0.273,0.43,0.073,0.07,0.315,2,676.98,1
22,70,Female,North,157.47,3,90,56,0.434,0.294,0.492,0.099,0.093,1,29659.34,0
23,19,Male,Central,23.07,0,102,45,0.322,0.342,0.47,0.387,0.267,1,332.16,1
24,41,Female,East,56.6,1,202,68,0.092,0.184,0.385,0.607,0.352,1,3231.42,0
25,61,Male,West,82.52,0,11,47,0.186,0.219,0.147,0.236,0.105,2,651.73,1
26,47,Female,North,32.82,2,54,76,0.357,0.111,0.129,0.142,0.302,1,5084.97,1
27,55,Female,West,129.73,0,33,89,0.348,0.044,0.138,0.116,0.124,0,50.0,0
28,19,Male,West,20.67,4,24,58,0.356,0.282,0.642,0.151,0.572,2,5006.84,0
29,77,Male,South,34.77,1,50,10,0.591,0.425,0.577,0.11,0.075,2,1637.67,0
30,38,Male,South,89.55,1,91,22,0.085,0.304,0.195,0.154,0.694,2,2894.08,1
31,50,Female,North,120.25,3,1,71,0.344,0.349,0.196,0.004,0.39,0,29402.92,0
32,29,Female,Central,218.77,0,209,24,0.494,0.316,0.261,0.285,0.294,2,798.48,1
33,75,Female,East,117.8,1,99,66,0.347,0.12,0.513,0.204,0.445,0,9066.49,0
34,39,Male,Central,109.13,4,83,96,0.184,0.412,0.305,0.361,0.282,2,45300.39,1
35,78,Male,South,60.12,1,85,85,0.137,0.595,0.445,0.012,0.538,2,4688.2,0
36,61,Female,West,20.1,1,29,61,0.109,0.184,0.246,0.078,0.479,2,1354.63,0
37,42,Female,West,30.24,1,83,7,0.203,0.149,0.583,0.544,0.095,1,446.53,0
38,66,Other,West,81.18,1,29,72,0.346,0.478,0.384,0.212,0.087,2,6490.49,0
39,44,Male,Central,109.95,3,137,117,0.259,0.088,0.398,0.334,0.068,2,40748.28,1
40,76,Female,South,63.23,0,11,115,0.696,0.489,0.609,0.116,0.166,2,226.13,1
41,59,Male,North,124.95,2,20,38,0.1,0.211,0.314,0.213,0.308,0,10390.94,0
42,45,Male,West,79.03,1,48,21,0.244,0.295,0.081,0.266,0.287,2,3194.09,0
43,77,Female,West,26.17,0,23,8,0.135,0.215,0.539,0.04,0.228,1,50.0,1
44,33,Female,East,37.06,7,33,89,0.075,0.514,0.519,0.156,0.393,2,23550.71,1
45,32,Other,North,166.61,2,40,28,0.727,0.308,0.409,0.075,0.341,2,11727.31,1
46,79,Male,East,123.25,1,116,92,0.502,0.297,0.325,0.046,0.129,4,13513.72,0
47,79,Male,South,200.12,1,44,54,0.297,0.649,0.232,0.111,0.334,0,11840.48,1
48,64,Female,South,30.0,0,27,31,0.432,0.425,0.342,0.025,0.816,0,50.0,0
49,79,Female,East,390.21,2,17,116,0.156,0.227,0.35,0.176,0.102,1,97704.76,0
50,68,Male,West,38.8,0,31,100,0.143,0.284,0.577,0.076,0.221,3,50.0,1
51,61,Male,North,20.95,0,43,89,0.033,0.432,0.524,0.004,0.466,1,50.0,1
52,72,Male,South,496.89,1,82,116,0.407,0.166,0.17,0.045,0.577,3,64567.77,1
53,69,Female,South,46.4,1,7,41,0.517,0.192,0.228,0.002,0.366,1,2329.62,0
54,74,Male,North,108.21,1,15,37,0.22,0.19,0.283,0.241,0.111,3,3611.03,0
55,20,Male,West,35.55,0,28,38,0.085,0.294,0.35,0.135,0.145,1,50.0,0
56,54,Male,Central,89.44,0,26,51,0.396,0.213,0.399,0.116,0.335,4,50.0,1
57,68,Male,South,207.5,0,29,76,0.345,0.131,0.089,0.676,0.129,4,476.47,1
58,24,Male,West,50.87,3,94,37,0.38,0.089,0.396,0.229,0.247,1,5674.15,0
59,38,Female,Central,108.75,0,23,101,0.173,0.599,0.167,0.035,0.481,0,50.0,1
60,26,Male,West,36.65,2,41,31,0.236,0.342,0.203,0.229,0.125,1,2237.09,0
61,56,Female,North,98.42,2,58,62,0.494,0.6,0.275,0.394,0.106,1,15435.19,0
62,35,Male,Central,52.81,1,15,18,0.13,0.438,0.263,0.13,0.145,0,1428.3,0
63,21,Female,South,38.98,1,76,90,0.404,0.102,0.146,0.151,0.161,1,4088.68,0
64,42,Female,South,50.05,1,47,6,0.281,0.265,0.455,0.238,0.312,1,1297.29,0
65,77,Female,North,35.76,1,35,9,0.316,0.418,0.133,0.099,0.264,1,1244.88,0
66,31,Female,East,205.75,4,99,11,0.43,0.344,0.489,0.259,0.265,2,10655.22,0
67,67,Male,North,60.49,1,16,95,0.628,0.334,0.177,0.267,0.438,1,7406.54,0
68,75,Male,North,42.51,1,128,119,0.265,0.586,0.02,0.072,0.665,0,6422.15,1
69,26,Female,South,67.6,1,49,110,0.088,0.569,0.327,0.445,0.142,1,8613.32,1
70,43,Other,West,50.92,2,56,2,0.032,0.242,0.144,0.064,0.251,1,956.23,1
71,70,Female,Central,129.14,1,124,29,0.468,0.189,0.378,0.182,0.325,2,3622.45,0
72,19,Female,South,303.85,1,102,110,0.195,0.411,0.137,0.242,0.364,4,36391.31,0
73,37,Female,Central,66.11,3,55,51,0.27,0.316,0.388,0.06,0.106,2,11761.78,1
74,45,Male,Central,177.88,0,83,106,0.057,0.086,0.272,0.034,0.128,0,272.2,0
75,64,Male,West,86.75,0,34,69,0.139,0.415,0.529,0.054,0.406,1,1315.01,1
76,77,Female,North,33.69,0,47,23,0.205,0.294,0.49,0.575,0.093,1,1533.42,1
77,24,Female,West,113.86,0,3,100,0.457,0.209,0.101,0.211,0.122,3,838.79,0
78,61,Male,Central,77.63,1,5,7,0.228,0.731,0.083,0.351,0.658,4,50.0,0
79,78,Female,West,104.12,3,106,56,0.579,0.574,0.016,0.119,0.118,2,22328.12,0
80,25,Male,South,196.35,1,3,77,0.128,0.549,0.553,0.476,0.312,2,16447.22,0
81,64,Female,East,66.45,0,11,106,0.091,0.409,0.142,0.413,0.064,2,50.0,1
82,52,Male,East,205.15,1,95,62,0.252,0.229,0.072,0.22,0.196,1,13413.04,1
83,31,Male,East,131.12,3,0,74,0.241,0.248,0.447,0.152,0.175,2,30731.82,0
84,34,Female,North,73.65,0,19,100,0.161,0.178,0.308,0.133,0.142,3,971.02,1
85,53,Male,South,93.95,2,52,80,0.317,0.121,0.049,0.213,0.133,3,17192.34,1
86,67,Female,West,51.51,0,54,15,0.225,0.672,0.116,0.219,0.195,1,50.0,0
87,57,Female,Central,348.82,0,90,53,0.193,0.679,0.853,0.395,0.473,1,119.7,1
88,21,Female,North,108.05,1,42,43,0.464,0.294,0.716,0.263,0.277,1,4196.23,0
89,19,Male,Central,23.59,1,42,83,0.428,0.608,0.588,0.195,0.339,1,3211.42,1
90,79,Male,South,51.64,3,77,85,0.383,0.219,0.324,0.158,0.407,3,13829.65,1
91,23,Male,West,98.11,0,41,35,0.656,0.073,0.407,0.114,0.069,1,50.0,1
92,71,Other,West,24.64,1,56,79,0.189,0.598,0.417,0.552,0.289,0,2521.01,1
93,59,Female,West,21.93,2,136,112,0.383,0.288,0.473,0.431,0.126,1,6290.87,0
94,21,Female,Central,67.83,1,30,14,0.52,0.302,0.196,0.173,0.394,1,1940.86,0
95,71,Female,South,52.36,1,29,93,0.358,0.187,0.579,0.224,0.224,3,5269.57,0
96,46,Female,Central,66.14,1,0,69,0.522,0.492,0.387,0.017,0.314,3,5488.38,1
97,35,Female,North,44.38,1,57,49,0.198,0.591,0.019,0.195,0.209,1,2981.41,1
98,43,Male,West,34.4,0,1,18,0.325,0.394,0.384,0.039,0.204,2,1038.3,0
99,61,Female,West,113.47,2,42,51,0.313,0.266,0.564,0.09,0.367,2,12773.72,1
100,51,Male,West,77.82,1,97,1,0.104,0.294,0.261,0.028,0.264,1,50.0,1
101,27,Female,South,37.87,1,47,27,0.281,0.253,0.09,0.028,0.479,1,50.0,1
102,79,Female,Central,50.8,2,18,64,0.148,0.587,0.251,0.299,0.393,1,7243.81,1
103,53,Female,North,91.68,0,92,60,0.469,0.433,0.208,0.024,0.31,2,1346.94,1
104,31,Male,North,26.0,0,18,91,0.15,0.234,0.34,0.371,0.253,1,721.8,1
105,48,Male,West,32.76,0,79,89,0.592,0.17,0.716,0.098,0.227,0,1027.36,1
106,65,Male,East,26.09,2,56,41,0.496,0.121,0.44,0.164,0.247,2,2961.43,1
107,32,Male,West,153.84,4,11,21,0.072,0.123,0.253,0.461,0.187,2,13664.32,0
108,25,Male,South,131.68,0,141,14,0.141,0.079,0.603,0.336,0.354,2,50.0,1
109,31,Female,North,131.97,0,13,116,0.199,0.262,0.105,0.07,0.133,2,50.0,0
110,40,Female,West,120.79,0,273,117,0.371,0.385,0.16,0.031,0.12,4,50.0,1
111,77,Male,East,108.54,1,0,20,0.541,0.519,0.079,0.036,0.445,3,3313.33,0
112,74,Male,North,71.85,1,18,92,0.309,0.667,0.235,0.37,0.601,2,8835.9,0
113,79,Male,West,102.24,1,13,85,0.56,0.126,0.112,0.215,0.247,2,11437.82,0
114,57,Female,East,23.13,0,0,87,0.22,0.492,0.857,0.136,0.088,2,50.0,1
115,38,Female,East,97.72,1,79,11,0.284,0.258,0.062,0.318,0.466,4,886.61,0
116,33,Female,East,140.36,1,70,66,0.234,0.327,0.074,0.152,0.237,3,8650.48,1
117,62,Female,West,75.51,0,94,84,0.495,0.211,0.127,0.08,0.501,0,50.0,0
118,35,Other,West,55.39,1,17,24,0.236,0.441,0.727,0.141,0.051,2,332.83,1
119,64,Female,West,45.99,0,35,119,0.535,0.129,0.089,0.074,0.144,0,1396.34,0
120,70,Male,North,102.36,2,64,89,0.342,0.468,0.258,0.106,0.491,1,20601.09,0
121,41,Female,West,114.42,0,34,37,0.147,0.18,0.107,0.261,0.562,2,50.0,1
122,43,Male,West,183.82,1,71,86,0.345,0.235,0.125,0.328,0.444,0,17049.93,0
123,42,Female,West,53.52,2,60,24,0.238,0.137,0.478,0.161,0.338,0,3850.1,0
124,77,Male,South,137.49,0,7,15,0.413,0.177,0.235,0.281,0.504,1,145.28,1
125,77,Female,Central,85.93,4,91,12,0.477,0.759,0.713,0.045,0.663,0,4003.19,1
126,77,Female,West,191.53,0,76,110,0.453,0.263,0.155,0.052,0.392,6,1278.25,1
127,62,Female,North,80.03,1,63,95,0.34,0.807,0.697,0.007,0.348,3,9411.38,1
128,58,Female,South,78.32,0,10,107,0.217,0.219,0.073,0.134,0.616,0,50.0,1
129,46,Male,Central,89.0,1,18,64,0.287,0.081,0.146,0.036,0.279,2,6171.41,1
130,32,Male,North,130.68,2,29,31,0.126,0.268,0.119,0.158,0.165,0,9533.64,0
131,62,Male,Central,287.49,3,19,53,0.621,0.293,0.289,0.357,0.325,3,54850.96,0
132,18,Male,West,26.11,0,15,94,0.223,0.59,0.149,0.426,0.674,2,465.3,1
133,42,Female,East,24.39,1,98,105,0.363,0.619,0.479,0.057,0.465,1,3277.28,0
134,24,Male,South,241.87,2,61,84,0.073,0.171,0.54,0.309,0.198,3,41376.1,0
135,26,Other,North,80.38,2,50,72,0.313,0.159,0.446,0.217,0.235,0,11909.01,1
136,41,Female,Central,96.34,3,15,44,0.072,0.35,0.108,0.131,0.167,2,11139.11,0
137,18,Female,South,72.69,0,150,30,0.587,0.297,0.28,0.185,0.54,0,50.0,1
138,61,Male,West,27.87,4,12,35,0.218,0.121,0.386,0.35,0.416,3,2326.41,0
139,25,Female,South,136.91,1,95,21,0.374,0.381,0.353,0.38,0.14,0,1522.52,0
140,41,Female,North,130.02,2,204,111,0.364,0.259,0.071,0.782,0.304,1,30641.33,0
141,28,Female,North,49.88,2,77,104,0.103,0.226,0.027,0.393,0.085,0,10555.25,0
142,68,Female,East,49.25,3,296,63,0.2,0.684,0.208,0.228,0.214,2,11323.02,1
143,34,Female,Central,165.53,0,63,92,0.211,0.318,0.026,0.275,0.339,3,50.0,1
144,25,Male,South,26.01,1,14,103,0.044,0.745,0.639,0.209,0.254,1,3979.45,0
145,52,Female,South,190.36,1,13,17,0.371,0.305,0.267,0.161,0.391,0,4802.49,1
146,52,Male,South,43.73,2,23,12,0.058,0.264,0.543,0.357,0.056,2,76.43,1
147,50,Male,East,91.91,0,0,116,0.405,0.115,0.366,0.06,0.31,1,50.0,1
148,76,Male,South,239.9,2,68,114,0.337,0.193,0.176,0.463,0.121,2,62271.46,0
149,22,Male,Central,110.69,1,18,18,0.474,0.221,0.045,0.506,0.085,1,3537.72,0
150,59,Male,East,62.81,1,101,111,0.034,0.549,0.231,0.501,0.151,0,7367.59,1
151,56,Male,East,113.57,0,26,119,0.579,0.119,0.293,0.241,0.383,0,61.1,1
152,75,Other,North,53.73,2,39,92,0.022,0.638,0.232,0.353,0.514,2,10615.09,0
153,58,Female,Central,45.98,1,202,60,0.372,0.097,0.616,0.051,0.288,2,3451.14,1
154,45,Other,North,476.7,3,16,67,0.072,0.449,0.516,0.178,0.072,1,102984.27,0
155,24,Male,North,131.16,0,76,115,0.236,0.174,0.471,0.394,0.137,2,50.0,0
156,26,Male,West,102.79,1,84,15,0.072,0.457,0.39,0.155,0.282,0,507.84,0
157,25,Female,East,55.12,1,14,16,0.191,0.296,0.21,0.2,0.187,1,458.99,0
158,29,Male,South,24.03,1,41,22,0.353,0.311,0.438,0.295,0.309,4,659.63,0
159,51,Male,South,22.52,1,25,118,0.32,0.142,0.706,0.139,0.045,2,3478.22,0
160,50,Female,West,84.63,0,88,113,0.207,0.498,0.237,0.233,0.2,1,919.31,1
161,65,Male,North,134.85,0,58,95,0.489,0.18,0.495,0.341,0.138,2,680.75,1
162,72,Female,West,81.67,0,38,63,0.078,0.126,0.439,0.153,0.649,0,305.01,0
163,40,Female,East,167.0,1,90,31,0.067,0.676,0.314,0.125,0.625,3,5108.3,0
164,79,Male,South,22.72,3,16,1,0.074,0.617,0.22,0.226,0.27,1,50.0,1
165,41,Male,East,56.55,1,84,75,0.232,0.527,0.484,0.33,0.165,0,5603.41,1
166,54,Female,South,41.65,2,120,6,0.055,0.085,0.188,0.431,0.242,2,2373.3,0
167,52,Male,West,67.43,0,126,87,0.277,0.227,0.201,0.577,0.08,2,50.0,1
168,61,Male,East,26.01,1,91,9,0.229,0.073,0.155,0.416,0.123,0,1278.57,1
169,57,Other,South,266.56,2,31,52,0.185,0.277,0.517,0.321,0.226,3,28511.46,1
170,39,Male,East,40.21,0,240,80,0.079,0.394,0.247,0.234,0.232,1,50.0,0
171,44,Female,Central,224.4,2,28,62,0.434,0.495,0.519,0.331,0.01,1,31564.06,1
172,52,Other,South,64.4,2,61,58,0.254,0.27,0.125,0.329,0.36,0,9840.81,0
173,18,Male,Central,358.82,0,10,102,0.235,0.16,0.407,0.211,0.058,1,50.0,1
174,52,Male,South,84.61,1,236,108,0.17,0.317,0.496,0.151,0.351,5,9970.26,1
175,54,Male,North,233.7,2,73,19,0.287,0.164,0.451,0.451,0.341,1,10087.48,0
176,64,Male,North,20.43,2,83,109,0.563,0.578,0.2,0.313,0.336,3,7317.9,0
177,31,Male,South,130.34,0,4,13,0.134,0.363,0.606,0.281,0.414,0,50.0,1
178,20,Female,North,206.69,2,86,32,0.14,0.334,0.234,0.375,0.453,0,15064.73,1
179,18,Male,North,32.04,1,89,100,0.095,0.6,0.215,0.043,0.133,2,2604.57,0
180,22,Female,Central,28.09,0,66,9,0.292,0.398,0.687,0.109,0.148,3,50.0,0
181,43,Other,West,64.21,0,20,110,0.395,0.118,0.332,0.077,0.084,1,2209.0,1
182,72,Female,West,237.06,2,40,110,0.111,0.197,0.149,0.428,0.327,3,55020.38,0
183,31,Female,North,82.54,1,7,49,0.234,0.358,0.087,0.298,0.378,1,5338.11,1
184,56,Male,North,79.97,1,38,37,0.211,0.193,0.295,0.355,0.407,0,3419.7,1
185,44,Female,North,32.17,1,16,31,0.326,0.392,0.086,0.109,0.109,0,1341.93,0
186,26,Female,West,20.06,1,25,31,0.338,0.506,0.533,0.252,0.452,4,1428.8,0
187,32,Male,Central,152.92,1,10,59,0.187,0.224,0.366,0.3,0.188,0,8830.62,0
188,32,Male,South,27.33,0,15,55,0.083,0.143,0.214,0.246,0.362,2,345.38,1
189,43,Female,North,100.38,3,4,19,0.092,0.092,0.111,0.005,0.359,4,4312.87,0
190,59,Male,East,216.85,2,151,63,0.149,0.432,0.084,0.471,0.562,0,28711.76,0
191,77,Male,South,38.72,1,45,2,0.294,0.224,0.413,0.123,0.166,1,1367.01,0
192,30,Male,South,107.56,2,30,45,0.111,0.488,0.08,0.367,0.362,0,9606.94,0
193,68,Male,East,26.56,0,45,96,0.298,0.125,0.364,0.081,0.23,1,802.55,1
194,49,Female,West,94.06,2,59,43,0.287,0.362,0.283,0.193,0.537,0,5312.76,0
195,56,Female,North,34.32,2,152,98,0.672,0.367,0.094,0.139,0.101,1,7654.66,0
196,66,Female,North,126.53,2,11,1,0.521,0.074,0.868,0.12,0.564,0,50.0,0
197,69,Male,Central,48.67,3,21,85,0.788,0.258,0.166,0.074,0.084,1,15039.62,0
198,78,Male,North,69.8,3,223,61,0.33,0.329,0.153,0.098,0.104,2,14328.46,1
199,49,Female,North,93.19,0,27,3,0.32,0.287,0.577,0.061,0.194,1,361.13,1
200,21,Male,North,35.03,0,1,91,0.116,0.434,0.287,0.547,0.508,4,50.0,0
201,47,Male,North,128.27,0,9,44,0.518,0.492,0.168,0.306,0.083,1,395.88,0
202,54,Female,South,48.84,0,1,7,0.159,0.168,0.423,0.267,0.378,1,50.0,0
203,40,Male,West,106.86,3,275,33,0.136,0.47,0.437,0.139,0.068,0,12725.11,1
204,56,Female,South,33.78,3,19,9,0.532,0.207,0.61,0.25,0.332,1,2582.61,0
205,62,Male,South,113.21,2,154,30,0.407,0.423,0.046,0.075,0.32,0,8303.2,1
206,32,Male,West,30.97,1,329,18,0.117,0.428,0.25,0.172,0.172,0,1660.57,0
207,60,Male,East,64.32,0,54,56,0.14,0.532,0.106,0.029,0.432,5,57.58,0
208,46,Other,Central,42.72,1,2,90,0.163,0.123,0.316,0.457,0.295,1,5157.47,0
209,53,Female,Central,130.39,0,5,84,0.255,0.266,0.037,0.139,0.386,3,152.44,0
210,30,Female,North,44.31,4,39,102,0.372,0.184,0.323,0.029,0.486,1,20252.24,1
211,49,Female,West,190.77,3,31,105,0.438,0.524,0.417,0.161,0.208,0,69132.33,0
212,24,Male,East,197.92,4,55,119,0.261,0.466,0.23,0.466,0.136,1,106317.09,0
213,76,Female,Central,37.5,2,34,31,0.214,0.55,0.271,0.334,0.252,2,2942.14,1
214,68,Male,East,96.12,2,163,72,0.371,0.213,0.299,0.358,0.52,3,14532.75,1
215,39,Female,Central,27.34,1,45,63,0.255,0.159,0.094,0.139,0.333,1,1292.34,1
216,45,Male,West,59.75,2,70,87,0.127,0.351,0.155,0.337,0.048,1,9595.98,0
217,19,Female,North,119.95,0,136,50,0.528,0.474,0.039,0.096,0.302,3,758.21,1
218,59,Male,East,106.17,0,9,89,0.226,0.111,0.336,0.25,0.337,5,50.0,1
219,62,Male,Central,98.4,2,15,111,0.139,0.203,0.425,0.293,0.341,2,23946.5,1
220,79,Female,Central,46.56,2,6,1,0.192,0.327,0.144,0.248,0.27,4,50.0,0
221,74,Male,North,57.99,3,9,110,0.395,0.383,0.318,0.134,0.202,1,21240.89,0
222,70,Male,West,28.69,2,43,82,0.121,0.28,0.157,0.59,0.302,4,6054.62,0
223,23,Male,South,121.56,1,23,19,0.523,0.425,0.022,0.189,0.178,2,2150.18,1
224,45,Male,North,76.08,1,33,115,0.336,0.467,0.533,0.198,0.387,5,11063.52,1
225,45,Female,South,118.69,0,242,106,0.399,0.659,0.199,0.318,0.374,4,50.0,1
226,61,Female,North,42.9,0,10,64,0.35,0.305,0.26,0.019,0.356,2,50.0,0
227,61,Female,West,51.38,0,46,116,0.118,0.512,0.305,0.202,0.429,2,1288.76,0
228,37,Female,South,52.54,3,6,53,0.354,0.216,0.033,0.448,0.458,2,9703.21,1
229,47,Male,West,22.09,2,23,6,0.091,0.457,0.521,0.087,0.278,2,1175.36,0
230,79,Female,North,53.37,2,44,17,0.341,0.29,0.473,0.018,0.618,3,4171.69,0
231,28,Male,South,150.09,2,175,46,0.2,0.457,0.163,0.256,0.281,4,15131.25,1
232,75,Male,North,202.07,0,29,109,0.204,0.294,0.299,0.053,0.245,2,922.9,1
233,72,Female,North,78.42,0,4,72,0.12,0.117,0.293,0.328,0.251,1,50.0,1
234,45,Male,North,68.63,1,29,118,0.218,0.283,0.043,0.248,0.561,3,9004.48,1
235,42,Female,North,22.5,1,9,106,0.329,0.507,0.223,0.263,0.071,2,2316.58,1
236,56,Male,East,189.09,2,15,73,0.091,0.193,0.199,0.101,0.147,2,29027.43,1
237,79,Female,South,21.05,0,57,101,0.148,0.27,0.716,0.023,0.461,1,50.0,1
238,50,Female,South,251.67,1,4,55,0.283,0.2,0.202,0.154,0.024,2,16463.17,0
239,18,Female,South,73.74,0,37,91,0.027,0.421,0.238,0.362,0.095,2,2608.39,1
240,74,Female,Central,53.48,0,56,100,0.051,0.48,0.472,0.488,0.183,4,241.53,1
241,44,Female,Central,226.39,2,32,6,0.13,0.199,0.26,0.226,0.234,3,2399.53,0
242,79,Male,East,21.98,1,1,70,0.284,0.286,0.336,0.412,0.392,1,3512.72,0
243,74,Female,South,89.67,1,254,109,0.32,0.139,0.29,0.066,0.399,2,10540.31,1
244,69,Male,North,83.69,2,27,68,0.348,0.399,0.422,0.085,0.364,1,12596.72,0
245,30,Female,Central,39.81,3,90,86,0.314,0.202,0.528,0.418,0.159,2,11697.69,1
246,58,Female,North,64.81,1,23,40,0.337,0.469,0.103,0.053,0.291,0,2582.37,1
247,20,Female,South,104.5,1,38,91,0.157,0.705,0.621,0.272,0.165,1,11877.72,0
248,56,Male,South,123.9,3,29,101,0.267,0.239,0.388,0.04,0.049,4,39798.67,0
249,23,Male,South,20.06,2,25,66,0.306,0.208,0.324,0.045,0.468,1,3221.44,0
250,25,Female,North,240.98,1,1,9,0.371,0.333,0.539,0.433,0.033,0,4032.23,0
251,44,Male,West,34.38,2,26,11,0.043,0.504,0.799,0.173,0.625,1,50.0,1
252,26,Male,North,41.28,2,132,20,0.232,0.127,0.364,0.31,0.197,0,3414.62,1
253,79,Male,East,44.46,0,70,116,0.353,0.363,0.063,0.314,0.031,2,288.46,0
254,54,Female,North,23.08,1,9,43,0.136,0.333,0.148,0.571,0.777,0,2970.63,0
255,50,Female,North,30.5,4,53,103,0.166,0.093,0.54,0.144,0.259,0,14997.97,0
256,68,Male,Central,363.52,1,133,58,0.113,0.315,0.04,0.012,0.142,1,21079.42,1
257,59,Male,North,50.29,1,72,78,0.543,0.15,0.383,0.375,0.521,2,6765.57,0
258,61,Male,West,29.8,0,9,26,0.134,0.351,0.07,0.248,0.302,0,50.0,1
259,41,Female,East,29.05,2,121,38,0.175,0.472,0.579,0.035,0.367,3,2878.2,0
260,32,Female,North,121.68,2,21,94,0.201,0.493,0.594,0.096,0.348,2,22967.43,1
261,76,Male,Central,174.24,0,36,36,0.107,0.303,0.565,0.289,0.288,3,729.14,1
262,71,Male,North,43.76,1,44,102,0.297,0.826,0.483,0.277,0.387,0,5734.51,0
263,49,Male,Central,21.69,1,114,99,0.23,0.42,0.399,0.264,0.352,3,4076.68,1
264,49,Female,North,40.19,1,160,55,0.626,0.261,0.329,0.125,0.291,2,3351.51,1
265,41,Female,Central,24.65,4,159,6,0.159,0.128,0.322,0.063,0.308,3,50.0,1
266,58,Male,North,28.73,1,0,3,0.07,0.34,0.126,0.437,0.051,3,869.15,1
267,69,Male,East,65.18,2,152,65,0.527,0.132,0.794,0.339,0.372,2,9413.33,1
268,66,Male,West,40.9,2,3,64,0.231,0.324,0.333,0.273,0.139,0,7846.69,1
269,79,Other,Central,78.04,1,18,58,0.203,0.637,0.596,0.585,0.168,4,5561.73,1
270,66,Male,Central,43.39,2,43,117,0.254,0.461,0.535,0.34,0.439,2,11081.58,1
271,75,Female,West,245.79,1,39,58,0.414,0.282,0.477,0.327,0.556,1,17552.17,0
272,69,Female,Central,209.11,2,55,18,0.59,0.187,0.35,0.07,0.196,2,9093.55,1
273,29,Male,North,86.93,1,39,23,0.077,0.282,0.729,0.18,0.339,2,3937.98,0
274,79,Male,South,55.01,1,163,96,0.644,0.137,0.517,0.434,0.217,1,5240.11,1
275,56,Male,South,58.39,1,16,29,0.087,0.087,0.19,0.637,0.433,1,1207.94,1
276,19,Female,South,62.46,0,19,23,0.511,0.189,0.181,0.183,0.175,1,1007.59,1
277,20,Female,South,124.03,1,152,36,0.108,0.203,0.1,0.105,0.341,1,4312.77,1
278,66,Female,East,68.07,5,4,70,0.28,0.463,0.188,0.076,0.204,0,27858.77,0
279,54,Female,North,175.44,3,56,81,0.15,0.586,0.715,0.066,0.688,0,47700.85,0
280,66,Male,West,250.73,4,68,82,0.232,0.088,0.009,0.126,0.125,3,87870.56,1
281,73,Other,North,52.75,1,42,95,0.418,0.827,0.118,0.348,0.273,0,6408.09,0
282,34,Female,South,85.8,1,71,6,0.412,0.082,0.552,0.364,0.434,3,453.59,1
283,76,Male,East,27.99,2,11,34,0.33,0.169,0.288,0.123,0.259,1,1521.06,1
284,66,Other,West,37.9,0,114,44,0.135,0.396,0.639,0.123,0.358,3,681.03,0
285,19,Female,West,62.68,1,9,44,0.337,0.314,0.213,0.278,0.396,3,2356.22,0
286,19,Female,East,38.47,0,30,27,0.153,0.298,0.147,0.255,0.378,1,104.2,0
287,45,Female,North,187.36,1,4,100,0.277,0.679,0.191,0.022,0.638,2,23508.32,1
288,71,Female,East,33.79,2,47,112,0.361,0.095,0.767,0.095,0.17,0,8685.8,1
